Z,N,BE,QDE2t,QDE3t,QDE4t,QDE6t,QDB2t,QDB3t,QDB4t,QDB6t,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
8,8,128.03,-0.03,0.2,0.12,-0.02,-0.01,-0.258,-0.122,0.047,-0.62,2.42,-5.15,-4.74,0.0,2.4,-3.66
8,9,132.45,0.05,0.01,-0.12,-0.02,0.061,-0.014,0.152,0.035,1.82,3.74,-1.49,-0.81,0.0,3.71,-0.04
8,10,141.84,0.01,0.0,-0.04,0.02,0.01,0.0,0.048,-0.019,1.6,3.42,-2.81,-0.78,0.001,3.42,-1.39
8,11,144.95,-0.01,0.0,-0.04,0.02,-0.01,0.0,0.047,-0.02,2.23,3.78,2.15,3.34,0.003,3.78,3.46
8,12,152.98,0.01,0.0,0.02,-0.02,0.01,0.0,-0.024,0.02,1.1,2.52,2.19,3.8,0.001,2.52,3.36
8,13,155.15,0.09,0.0,0.03,-0.03,0.096,0.0,-0.034,0.027,0.37,2.02,8.09,8.06,0.012,2.05,9.11
8,14,161.39,0.0,0.0,-0.01,0.03,0.0,0.0,0.012,-0.03,-1.14,0.73,9.92,9.28,0.057,0.76,10.75
8,15,162.16,0.0,0.0,0.0,0.03,0.0,0.0,0.0,-0.029,-1.89,0.18,17.22,14.61,0.122,0.22,17.83
8,16,165.98,0.0,0.0,0.02,0.03,0.001,0.0,-0.023,-0.029,-2.09,-0.17,21.48,19.07,0.236,-0.1,21.9
8,17,164.91,0.04,0.0,0.02,0.03,0.043,0.0,-0.022,-0.03,-2.03,-0.06,30.61,0.02,30.82,,
8,18,167.41,0.0,0.0,0.0,0.03,0.0,0.0,0.0,-0.029,-2.06,-0.33,36.19,-0.25,36.16,,
8,19,165.5,-0.02,0.0,0.0,0.03,-0.021,0.0,0.0,-0.029,-2.57,-0.35,46.17,-0.26,45.93,,
8,20,166.82,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.03,-2.87,-0.48,52.92,-0.37,52.47,,
8,21,163.92,0.08,0.0,-0.05,-0.03,0.087,0.0,0.064,0.037,-2.1,-0.34,63.89,0.05,63.5,,
8,22,165.12,0.1,0.0,-0.1,-0.03,0.114,0.0,0.131,0.049,-1.84,-1.22,70.76,0.0,70.99,,
8,23,162.45,0.18,0.0,-0.12,-0.04,0.205,0.0,0.17,0.081,-2.15,-2.01,81.5,0.3,82.64,,
8,24,162.41,0.19,0.0,-0.12,-0.04,0.216,0.0,0.172,0.083,-2.01,-2.4,89.61,0.22,90.88,,
8,25,156.45,0.22,0.0,-0.05,0.0,0.238,0.0,0.083,0.017,-1.64,-0.5,103.64,-0.03,102.6,,
8,26,155.44,0.17,0.0,0.04,0.04,0.187,0.0,-0.032,-0.046,-1.39,-0.57,112.72,0.1,111.74,,
8,27,153.57,-0.28,0.0,-0.1,0.04,-0.284,0.0,0.137,-0.068,-2.62,-3.28,122.67,-0.7,123.47,,
8,28,152.82,-0.32,0.0,-0.12,0.04,-0.322,0.0,0.167,-0.078,-3.4,-4.18,131.49,-0.39,133.39,,
8,29,146.1,-0.27,0.0,-0.06,0.04,-0.276,0.0,0.09,-0.056,-3.07,-2.51,146.28,-0.82,145.99,,
8,30,143.61,-0.2,0.0,0.05,-0.04,-0.208,0.0,-0.038,0.047,-2.61,-2.15,156.84,-1.14,155.81,,
8,31,138.81,-0.2,0.0,0.06,-0.04,-0.209,0.0,-0.049,0.049,-3.07,-2.8,169.71,-1.59,168.83,,
8,32,138.21,-0.15,0.0,0.12,-0.04,-0.158,0.0,-0.124,0.06,-3.12,-4.78,178.38,-1.85,179.2,,
8,33,133.19,-0.15,0.0,0.12,-0.05,-0.159,0.0,-0.124,0.069,-3.26,-5.55,191.48,-2.12,192.79,,
8,34,128.4,-0.17,0.0,0.08,-0.05,-0.179,0.0,-0.076,0.062,-2.66,-3.74,204.34,-1.49,204.49,,
9,8,129.22,0.05,0.0,-0.12,-0.02,0.061,0.0,0.152,0.035,1.24,3.14,0.95,1.95,0.0,3.11,2.01
9,9,136.73,0.16,0.0,-0.12,-0.02,0.18,0.0,0.165,0.054,2.93,6.08,1.51,0.87,0.001,5.93,0.85
9,10,148.51,0.24,0.0,-0.12,0.02,0.262,0.0,0.18,0.025,2.43,5.87,-2.19,-1.49,0.0,5.77,-1.12
9,11,154.18,0.26,0.0,-0.1,0.02,0.283,0.0,0.159,0.021,2.83,6.25,0.2,-0.02,0.0,6.14,1.23
9,12,162.95,0.25,0.0,-0.05,0.03,0.27,0.0,0.092,-0.01,2.15,4.98,-0.49,-0.05,0.002,4.96,0.55
9,13,167.59,0.21,0.0,-0.03,0.03,0.226,0.0,0.058,-0.02,2.04,4.39,2.93,2.79,0.012,4.36,3.87
