Z,N,BE,ChRad,CPn,CPp,PEn,PEp,QDB2t,QDB2n,QDB2p,QDB4n,QDB4p,MRadN,MRadP
2,2,34.222,2.145,-16.6,-15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.976,1.991
2,4,36.959,2.109,-2.2,-23.0,-6.55,0.0,0.0,0.0,0.0,0.0,0.0,2.61,1.951
2,6,38.987,2.116,-1.3,-28.8,-6.93,0.0,0.0,0.0,0.0,0.0,0.0,2.924,1.959
2,8,39.062,2.152,0.3,-32.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.257,1.998
4,4,52.183,2.639,-13.5,-11.4,0.0,0.0,1.219,1.209,1.229,0.801,0.824,2.493,2.515
4,6,65.294,2.385,-6.4,-13.2,-3.39,-5.78,0.0,0.0,0.0,0.0,0.0,2.512,2.247
4,8,74.293,2.441,-5.9,-17.6,0.0,-6.29,0.0,0.0,0.0,0.0,0.0,2.784,2.307
4,10,74.926,2.464,-0.4,-19.6,-7.98,-6.22,0.0,0.0,0.0,0.0,0.0,3.241,2.331
4,12,75.035,2.584,-0.1,-22.1,-10.01,-2.86,0.629,0.658,0.543,0.154,0.175,3.491,2.457
6,4,60.285,2.695,-15.0,-3.6,-5.92,-3.96,-0.004,-0.003,-0.004,0.0,0.0,2.249,2.573
6,6,88.406,2.56,-17.0,-13.9,0.0,0.0,-0.4,-0.395,-0.405,0.126,0.136,2.407,2.432
6,8,106.191,2.533,-9.9,-14.0,0.0,-1.11,0.0,0.0,0.0,0.0,0.0,2.593,2.403
6,10,112.302,2.557,-3.1,-17.2,-7.6,-1.16,0.163,0.195,0.111,0.037,0.011,2.894,2.429
6,12,117.896,2.61,-2.8,-24.4,-8.62,0.0,-0.345,-0.379,-0.277,0.135,0.056,3.117,2.484
6,14,122.117,2.652,-1.7,-27.2,-7.12,0.0,-0.382,-0.414,-0.308,0.121,0.068,3.3,2.529
6,16,124.339,2.636,-1.1,-25.3,-9.94,-3.13,0.0,0.0,0.0,0.0,0.0,3.45,2.512
6,18,125.316,2.694,-0.3,-26.8,-10.83,-4.38,0.0,0.0,0.0,0.0,0.0,3.64,2.572
8,4,63.129,2.979,-19.2,-2.5,-6.39,0.0,0.0,0.0,0.0,0.0,0.0,2.307,2.869
8,6,99.521,2.758,-16.9,-6.2,-1.24,0.0,0.0,0.0,0.0,0.0,0.0,2.39,2.639
8,8,128.114,2.735,-15.2,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.588,2.616
8,10,141.715,2.728,-6.5,-15.4,-7.41,0.0,0.0,0.0,0.0,0.0,0.0,2.792,2.608
8,12,153.432,2.73,-5.6,-19.0,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,2.953,2.61
8,14,163.311,2.739,-4.6,-21.9,-8.88,0.0,0.0,0.0,0.0,0.0,0.0,3.105,2.62
8,16,170.97,2.759,-3.2,-24.1,-6.63,0.0,0.0,0.0,0.0,0.0,0.0,3.267,2.64
8,18,175.817,2.807,-2.0,-26.2,-7.68,0.0,0.0,-0.001,0.0,0.0,0.0,3.425,2.69
8,20,178.525,2.853,-0.6,-28.1,-3.71,0.0,0.0,0.0,0.0,0.0,0.0,3.574,2.738
10,8,134.073,2.955,-19.0,-2.4,0.0,-7.57,0.0,0.0,0.0,0.0,0.0,2.591,2.844
10,10,155.807,2.973,-11.2,-7.0,-1.65,-1.71,0.499,0.492,0.506,0.417,0.44,2.83,2.863
